,SHIPMENT_NUMBER,Record Timestamp,Delay (minutes)
202,SEZHUK-231019-254715,2023-11-17 09:38:00,107.788
203,SEZHUK-231020-254729,2023-10-25 08:25:00,26.513
204,SEZHUK-231020-254831,2023-10-25 02:09:00,106.544
205,SEZHUK-231020-254906,2023-11-03 08:59:00,44.033
206,SEZHUK-231020-254949,2023-10-24 09:24:00,54.033
207,SEZHUK-231020-254950,2023-11-01 09:48:00,0.132
208,SEZHUK-231020-255003,2023-10-23 13:42:00,191.339
209,SEZHUK-231020-255010,2023-10-23 16:56:00,376.443
210,SEZHUK-231020-255024,2023-10-24 06:48:00,45.115
211,SEZHUK-231020-255072,2023-10-24 12:55:00,30.866999983333336
212,SEZHUK-231020-255078,2023-12-20 06:00:00,0.33
213,SEZHUK-231020-255079,2023-12-20 05:53:00,40.225
214,SEZHUK-231020-255080,2023-12-20 03:30:00,0.365
215,SEZHUK-231021-255217,2023-10-22 18:42:00,4.825333333333333
216,SEZHUK-231022-255366,2023-10-26 06:36:00,109.34033333333332
217,SEZHUK-231022-255396,2023-10-27 12:34:00,113.10733333333332
218,SEZHUK-231023-255537,2023-10-25 12:56:00,1356.273
219,SEZHUK-231023-255538,2023-10-26 09:56:00,2630.068999983333
220,SEZHUK-231023-255569,2023-10-25 11:26:00,1.905
221,SEZHUK-231024-255885,2023-10-26 10:53:00,23.598000000000003
222,SEZHUK-231024-255916,2023-10-25 06:02:00,84.359
223,SEZHUK-231024-255946,2023-10-30 15:03:00,5468.514
224,SEZHUK-231024-255968,2023-10-26 14:50:00,104.067
225,SEZHUK-231024-256041,2023-10-25 19:53:00,298.4
226,SEZHUK-231024-256043,2023-10-28 14:52:00,3195.717
227,SEZHUK-231024-256044,2023-10-26 08:39:00,6.718
228,SEZHUK-231024-256045,2023-10-31 19:38:00,7805.679999999999
229,SEZHUK-231024-256046,2023-10-29 15:39:00,4946.389999983334
230,SEZHUK-231024-256049,2023-10-25 09:12:00,2.546
231,SEZHUK-231024-256054,2023-10-26 17:01:00,718.6279999833333
232,SEZHUK-231025-256108,2023-10-27 12:58:00,53.36
233,SEZHUK-231025-256168,2023-11-07 21:12:00,125.15699998333334
234,SEZHUK-231025-256170,2023-11-09 20:17:00,93.326
235,SEZHUK-231025-256171,2023-11-10 20:57:00,110.473
236,SEZHUK-231025-256208,2023-10-27 10:48:00,26.35399998333333
237,SEZHUK-231025-256214,2023-11-06 15:47:00,10533.833
238,SEZHUK-231025-256226,2023-11-01 13:52:00,9105.335
